title,artist,emotion,link
Cheap Thrills,Sia,joy,https://youtu.be/PIh2xe4jnpk
Happy,Pharrell Williams,joy,https://youtu.be/ZbZSe6N_BXs
Dancing On My Own,Robyn,joy,https://youtu.be/4xPp8i8yS8Y
Walking on Sunshine,Katrina & The Waves,joy,https://www.youtube.com/watch?v=JqdYQbqzWZQ
Don't Stop Me Now,Queen,joy,https://www.youtube.com/watch?v=HgzGwKwLmgM

Someone Like You,Adele,sadness,https://youtu.be/hLQl3WQQoQ0
Fix You,Coldplay,sadness,https://youtu.be/k4V3Mo61fJM
The Night We Met,Lord Huron,sadness,https://youtu.be/KtlgYxa6BMU
Hallelujah,Jeff Buckley,sadness,https://www.youtube.com/watch?v=y8AWFf7EAc4
Tears in Heaven,Eric Clapton,sadness,https://www.youtube.com/watch?v=fZ2r4dMQHUg

Bad Blood,Taylor Swift,anger,https://youtu.be/QcIy9NiNbmo
Break Stuff,Limp Bizkit,anger,https://youtu.be/ZpUYjpKg9KY
You Oughta Know,Alanis Morissette,anger,https://youtu.be/EklWg4a0R5c
Killing in the Name,Rage Against The Machine,anger,https://www.youtube.com/watch?v=JYJ6QJqy92s
Before He Cheats,Carrie Underwood,anger,https://www.youtube.com/watch?v=WaSy8yy-mr8

Lose Yourself,Eminem,fear,https://youtu.be/_Yhyp-_hX2s
Everybody Hurts,R.E.M.,fear,https://youtu.be/7qsIA-6rVxg
Thriller,Michael Jackson,fear,https://www.youtube.com/watch?v=4V90AmXnguw
Survive,Lewis Capaldi,fear,https://www.youtube.com/watch?v=6fJI7xydShM
Scary Monsters and Nice Sprites,Skrillex,fear,https://www.youtube.com/watch?v=WSeNSzJ2-Jw

I Will Always Love You,Whitney Houston,love,https://youtu.be/3JWTaaS7LdU
Thinking Out Loud,Ed Sheeran,love,https://youtu.be/lp-EO5I60KA
Perfect,Ed Sheeran,love,https://www.youtube.com/watch?v=gV4hKXCZdC8
At Last,Etta James,love,https://www.youtube.com/watch?v=KiRf4527JXI
Can't Help Falling in Love,Elvis Presley,love,https://www.youtube.com/watch?v=GSaxhqJG1Mw

Surprise Yourself,Jack Garratt,surprise,https://youtu.be/3m0w8p0Y7d8
Wonderwall,Oasis,surprise,https://youtu.be/bx1Bh8ZvH84
Bohemian Rhapsody,Queen,surprise,https://www.youtube.com/watch?v=fJ9rUzIMcZQ
Take On Me,A-ha,surprise,https://www.youtube.com/watch?v=djV11Xbc914
Somebody That I Used to Know,Gotye ft. Kimbra,surprise,https://www.youtube.com/watch?v=8UVNT4wvIGY
